"sold","brand","battery_health_report","blind_spot_monitoring","rain_sensing_wipers","heated_seats","ventilated_seats","sunroof","wireless_phone_charging","apple_carplay_or_android_auto","navigation_system","voice_control","regenerative_braking_system","fast_charging_capabilities","range_estimator","black_and_white_premium_interior","glass_roof","subzero_weather_package","keyless_entry","ash_wood_decor","customer_age","customer_income","dealership_size","dealership_location","dealership_years_experience","customer_sex","trade_in","customer_satisfaction","price","seller_sex","seller_experience","trade_in_model","trade_in_mileage","trade_in_exterior_condition","trade_in_tire_condition","trade_in_engine_size","trade_in_value","longitude","latitude","state","customer_id","car_models","trade_in_fuel_type","trade_in_transmission_type"
1,"Ford",0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,20,147242,1,"Urban",13,"Male",0,3.97674148894201,49821.5103234572,"Female",9,"Audi e-Tron",40000,1,1,4.2,27534.0486912953,-116.377418593715,33.7879171703117,"California",3392,"Audi e-Tron","electric","automatic"
1,"Ford",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,51,111940,5,"Urban",15,"Female",1,3.57475313866248,40120.8669045882,"Male",15,"Jeep Wrangler",1e+05,1,4,4.6,17978.3159559141,-117.790221194102,35.88364586925,"California",3393,"Jeep Wrangler","gasoline","manual"
1,"Tesla",1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,28,100281,5,"Rural",37,"Male",0,4.17093320564394,53735.7012908207,"Male",21,"Maserati Ghibli",10000,2,1,3.5,30000,-123.338260072831,41.1621027040303,"California",3394,"Maserati Ghibli","gasoline","automatic"
1,"Ford",0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,37,129676,1,"Urban",28,"Male",1,3.97290612790813,63572.6525713108,"Female",25,"Honda CR-V",105000,3,2,3.2,23997.3227763228,-119.413421501561,37.6293905669879,"California",3395,"Honda CR-V","gasoline","CVT"
1,"Ford",0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,56,36714,3,"Suburban",28,"Female",0,4.18049467960594,57882.5802890351,"Female",30,"Dodge Grand Caravan",145000,4,3,5.9,25518.098508835,-118.207374868235,37.4625473865665,"California",3396,"Dodge Grand Caravan","gasoline","automatic"
1,"Tesla",1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,29,73725,3,"Rural",26,"Male",0,4.91074681510886,86699.4752267375,"Male",26,"Honda Ridgeline",30000,4,2,3.6,30000,-121.712210044113,38.2537809807707,"California",3397,"Honda Ridgeline","gasoline","automatic"
0,"Toyota",0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,38,110546,3,"Suburban",31,"Male",1,4.43333788350407,30688.2813246921,"Female",-0.57999380148378,"Fiat 500",120000,1,1,1.8,13022.5813833613,-121.853402024117,39.6940305845701,"California",3398,"Fiat 500","gasoline","manual"
0,"Ford",0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,29,71946,3,"Rural",48,"Male",1,3.49275739220316,43067.5084353425,"Male",-0.57999380148378,"Ford Mustang Mach-E",85000,4,3,2.6,21767.1031244672,-120.294339828483,33.9981329760876,"California",3399,"Ford Mustang Mach-E","electric","automatic"
1,"Tesla",1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,52,47285,5,"Suburban",20,"Female",1,4.35236164925632,64520.0909192674,"Female",16,"Lincoln MKZ",50000,3,4,2.8,30000,-120.806104961309,41.4216182265016,"California",3400,"Lincoln MKZ","gasoline","automatic"
0,"Tesla",1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,60,72051,3,"Suburban",26,"Male",1,4.69092866931942,42589.8028397933,"Male",22.4200061985162,"GMC Canyon",45000,5,4,1.3,30000,-122.127044677336,39.5133049958115,"California",3401,"GMC Canyon","gasoline","automatic"
0,"Ford",0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,24,89271,5,"Suburban",45,"Male",0,4.23569083787964,32188.6592253577,"Female",25.4200061985162,"Acura RDX",1e+05,3,1,2,16673.6124738448,-117.795427547164,34.3706564100609,"California",3402,"Acura RDX","gasoline","automatic"
0,"Ford",0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,59,124445,4,"Rural",18,"Female",0,4.26590496237783,46489.9722544942,"Male",19.4200061985162,"Infiniti QX30",1e+05,2,5,3.6,30000,-123.081882216647,38.5645028029116,"California",3403,"Infiniti QX30","electric","automatic"
0,"Ford",0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,55,67802,3,"Rural",43,"Female",1,4.94154841031135,53301.937635988,"Female",26.4200061985162,"Infiniti QX30",140000,3,4,3.2,23674.8578651533,-116.142096806702,33.6938470819622,"California",3404,"Infiniti QX30","electric","automatic"
1,"Ford",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,48,57438,4,"Suburban",19,"Male",1,3.37360730520995,36204.2439474026,"Female",30,"Toyota Sienna",20000,5,5,5.9,30000,-122.324102921964,37.3814665190056,"California",3405,"Toyota Sienna","gasoline","automatic"
0,"Toyota",0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,53,102645,5,"Suburban",26,"Male",0,3.77636667891744,20710.2041668259,"Male",10.4200061985162,"Fiat 500",150000,3,1,1.9,19355.4372283178,-121.640773206723,36.7975624987671,"California",3406,"Fiat 500","gasoline","manual"
0,"Tesla",1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,55,62560,2,"Suburban",24,"Female",1,3.88456537708424,79598.4007278457,"Male",20.4200061985162,"Ford Fiesta",203946.82960771,2,5,5.6,22781.4955988458,-120.848543534065,38.9023699044073,"California",3407,"Ford Fiesta","gasoline","manual"
0,"Toyota",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,51,93453,2,"Urban",40,"Male",0,3.61197186823351,33987.0375511236,"Male",2.42000619851622,"Ram ProMaster City",55000,5,5,2.4,30000,-122.839797951477,40.8337098692407,"California",3408,"Ram ProMaster City","gasoline","automatic"
1,"Toyota",1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,41,111315,5,"Urban",3,"Female",0,3.99732191099855,54190.1580107398,"Male",22,"Kia Rio",70000,3,5,2.2,29693.3144164822,-122.452620476347,39.0642409526584,"California",3409,"Kia Rio","electric","automatic"
0,"Ford",0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,60,84747,1,"Rural",26,"Male",0,3.79898043686928,59287.7724545542,"Male",5.42000619851622,"Lincoln MKZ",65000,2,3,4.4,28869.2039564447,-115.317286070318,33.1919838904027,"California",3410,"Lincoln MKZ","gasoline","automatic"
0,"Toyota",0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,49,149109,3,"Suburban",39,"Male",1,3.21740559174327,43748.1165747158,"Male",18.4200061985162,"Ford Ranger",75000,3,4,5.3,18912.5205697079,-116.32666885732,33.6748423395524,"California",3411,"Ford Ranger","gasoline","automatic"
1,"Ford",1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,34,142411,2,"Rural",27,"Female",0,3.90946935462827,54954.9341096543,"Male",8,"Chevrolet City Express",150000,4,5,5.2,24711.4190085437,-123.119973599589,39.3963837094444,"California",3412,"Chevrolet City Express","gasoline","automatic"
0,"Ford",0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,33,100205,4,"Suburban",21,"Male",0,4.32856746077437,46693.5647709761,"Female",6.42000619851622,"Nissan Quest",50000,2,4,1.1,26302.4094911632,-122.9319520315,39.7782811835476,"California",3413,"Nissan Quest","gasoline","CVT"
0,"Tesla",1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,48,55695,2,"Urban",35,"Female",1,4.45918589673579,64122.3674616776,"Male",25.4200061985162,"Honda Odyssey",10000,1,3,3,30000,-115.639696765833,33.1624596023095,"California",3414,"Honda Odyssey","gasoline","automatic"
1,"Toyota",1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,56,131951,2,"Suburban",39,"Female",0,4.70878354814373,37781.6228579963,"Female",1,"Mazda 3",115000,2,1,1.4,25393.5808957504,-120.788756583704,41.4792651757954,"California",3415,"Mazda 3","gasoline","manual"
0,"Tesla",1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,25,60918,4,"Rural",16,"Male",0,3.59568080446157,41812.8248397261,"Male",-1.57999380148378,"Subaru Forester",25000,4,4,5.3,29372.7093904218,-121.149201976984,41.0324361113429,"California",3416,"Subaru Forester","electric","CVT"
0,"Ford",0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,21,86763,4,"Urban",1,"Male",1,3.63441089858553,31658.6094442755,"Female",19.4200061985162,"Acura ILX",125000,2,2,5.4,16998.5569241305,-121.25405629594,35.7648728359094,"California",3417,"Acura ILX","gasoline","automatic"
0,"Toyota",0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,63,119570,1,"Rural",15,"Female",1,3.02575855341297,33180.7206920348,"Male",26.4200061985162,"Tesla Model S",60000,2,3,5.5,27622.7522419966,-119.578781904557,34.9710837697369,"California",3418,"Tesla Model S","electric","automatic"
0,"Toyota",0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,39,52926,1,"Urban",17,"Female",0,3.5632861504702,27419.9912906624,"Male",-0.57999380148378,"Mini Cooper",145000,5,3,4.5,29529.0972685426,-122.806774740484,39.3793995043478,"California",3419,"Mini Cooper","gasoline","manual"
1,"Ford",0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,37,35154,4,"Suburban",39,"Female",0,4.59311353949901,29232.4321673368,"Male",15,"Jaguar XE",0,5,4,1.3,30000,-121.855807026659,40.8249963576762,"California",3420,"Jaguar XE","gasoline","automatic"
1,"Tesla",0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,25,85748,4,"Suburban",30,"Female",0,4.39912516353443,68674.1996768629,"Male",18,"Hyundai Elantra",238745.755672455,2,1,5.9,14955.007031674,-117.080483534712,36.1145449725325,"California",3421,"Hyundai Elantra","gasoline","manual"
0,"Ford",0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,64,138476,3,"Suburban",6,"Female",1,3.83600574904156,26984.9708315451,"Male",26.4200061985162,"Audi A4",115000,1,5,5.5,20076.4892658253,-120.118364317062,33.9448032128899,"California",3422,"Audi A4","gasoline","automatic"
1,"Tesla",1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,34,136383,2,"Rural",49,"Male",0,5.08088464851728,72430.6467119139,"Male",14,"Volkswagen e-Golf",45000,1,1,5.4,30000,-123.544880259121,40.9094919924766,"California",3423,"Volkswagen e-Golf","electric","automatic"
0,"Ford",0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,37,143694,3,"Urban",2,"Female",0,3.85278770954961,43575.413885992,"Female",19.4200061985162,"Ford F-150",135000,1,1,4.3,19430.5155704381,-120.58944812724,38.1618836182883,"California",3424,"Ford F-150","gasoline","automatic"
0,"Tesla",1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,25,120864,3,"Rural",41,"Male",1,4.04044312373869,64051.537446212,"Female",5.42000619851622,"Chevrolet Bolt",30000,1,4,5.9,17508.4090970245,-120.673283418442,39.7956578097388,"California",3425,"Chevrolet Bolt","electric","automatic"
1,"Toyota",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,40,50987,4,"Suburban",45,"Female",0,2.42722086798183,48605.5426388048,"Male",22,"Honda Fit",80000,4,1,1.8,26110.5456406869,-122.355612143979,40.6568515451623,"California",3426,"Honda Fit","gasoline","manual"
1,"Ford",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,34,99160,2,"Urban",31,"Male",1,4.47576334365408,46352.4284998421,"Female",15,"Lucid Air",0,4,4,3.2,30000,-119.968411362409,37.9523906667551,"California",3427,"Lucid Air","electric","automatic"
0,"Tesla",1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,61,70301,5,"Urban",24,"Female",0,4.35261165364099,41324.9729643576,"Female",15.4200061985162,"Chevrolet City Express",110000,4,2,1.7,29562.4576510208,-119.993334403649,38.7955775615188,"California",3428,"Chevrolet City Express","gasoline","automatic"
0,"Toyota",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,50,84761,3,"Rural",20,"Male",1,3.14355764209665,26391.7560782284,"Male",26.4200061985162,"Mitsubishi Mirage",80000,2,2,2.9,28388.2066234088,-122.356959620101,40.1656701932749,"California",3429,"Mitsubishi Mirage","gasoline","CVT"
1,"Ford",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,64,131420,1,"Suburban",27,"Male",1,3.48636267778039,28522.9676222429,"Female",4,"Chevrolet City Express",85000,5,2,5.9,30000,-120.237483760331,34.7009609224824,"California",3430,"Chevrolet City Express","gasoline","automatic"
1,"Tesla",1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,24,67566,1,"Rural",25,"Female",0,4.91521860199262,79796.9213638688,"Male",9,"Ford Ranger",20000,4,5,2.6,27291.1407125901,-117.414420781628,34.6861648243516,"California",3431,"Ford Ranger","gasoline","automatic"
0,"Ford",0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,49,50664,5,"Suburban",12,"Female",1,4.46605498444875,39434.9041895475,"Female",12.4200061985162,"Acura ILX",35000,2,3,4.4,27081.6316537297,-119.118796423387,34.6641969336016,"California",3432,"Acura ILX","gasoline","automatic"
1,"Tesla",1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,21,97642,5,"Urban",19,"Male",1,5.09573638175642,88716.7730784975,"Male",4,"Jaguar E-PACE",140000,1,1,5.3,7372.12316586759,-117.338574157563,33.9561598629455,"California",3433,"Jaguar E-PACE","gasoline","automatic"
0,"Ford",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,22,146517,2,"Suburban",39,"Female",1,4.72783440746433,42204.0944558103,"Female",13.4200061985162,"Mazda CX-5",45000,5,1,5.5,30000,-116.435546281409,34.399982957885,"California",3434,"Mazda CX-5","gasoline","automatic"
0,"Ford",0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,37,139453,3,"Rural",24,"Male",1,4.34341849875414,49065.8076922409,"Male",-0.57999380148378,"Smart Fortwo",50000,4,3,3.6,29010.4443468702,-121.54760346407,41.3165716427208,"California",3435,"Smart Fortwo","electric","automatic"
0,"Toyota",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,55,71281,5,"Rural",20,"Male",1,3.51988040898753,32894.3888936192,"Male",25.4200061985162,"Chevrolet Spark",115000,5,2,2,30000,-123.794330522081,40.2083184876422,"California",3436,"Chevrolet Spark","gasoline","manual"
1,"Tesla",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,53,60886,2,"Suburban",29,"Female",1,4.3648190314159,92951.3814157108,"Female",30,"Infiniti QX30",50000,5,1,5.8,24921.0574020106,-120.832236656502,35.3261782336626,"California",3437,"Infiniti QX30","electric","automatic"
1,"Ford",0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,31,37394,2,"Suburban",13,"Male",1,4.27785738046063,58682.2012289078,"Male",26,"Suzuki Equator",30000,1,2,5.9,19531.5600294958,-122.429780924419,38.5577677293042,"California",3438,"Suzuki Equator","gasoline","manual"
0,"Toyota",0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,24,131786,5,"Suburban",8,"Male",1,3.3594910857047,35642.3387397081,"Female",-0.57999380148378,"Mercedes-Benz Metris",20000,4,1,3.1,19075.1937958257,-120.153034307017,33.9968233068855,"California",3439,"Mercedes-Benz Metris","gasoline","automatic"
1,"Ford",0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,32,129824,3,"Urban",39,"Female",1,4.72694326647201,38444.2042386392,"Male",4,"Rivian R1T",115000,3,3,3.7,18095.5955198901,-119.925867873516,35.8233385880988,"California",3440,"Rivian R1T","gasoline","automatic"
0,"Tesla",1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,47,123774,4,"Urban",42,"Female",0,4.26682312628166,55411.0474395566,"Female",10.4200061985162,"Ram ProMaster City",120000,2,5,2.9,14698.1538350664,-118.990821042557,35.1117023602332,"California",3441,"Ram ProMaster City","gasoline","automatic"
0,"Toyota",1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,41,121410,2,"Rural",14,"Male",1,4.48278520293472,38195.3110732138,"Male",2.42000619851622,"Nissan Rogue",0,3,5,4.4,30000,-116.602717602392,35.1251648941573,"California",3442,"Nissan Rogue","gasoline","CVT"
0,"Ford",0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,60,106704,5,"Urban",34,"Male",1,5.05506682230431,53466.0018293653,"Male",25.4200061985162,"Chevrolet Bolt",15000,5,1,1.5,30000,-121.050958962861,38.291413803058,"California",3443,"Chevrolet Bolt","electric","automatic"
0,"Tesla",0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,56,140090,1,"Urban",35,"Female",0,4.9487923720104,54049.831754528,"Female",23.4200061985162,"Chevrolet Bolt",110000,3,2,5.9,23932.9505124815,-118.664915464078,34.9825960916091,"California",3444,"Chevrolet Bolt","electric","automatic"
0,"Tesla",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,44,98095,5,"Urban",44,"Male",1,4.79146322917889,46127.7443659492,"Female",13.4200061985162,"Mercedes-Benz Metris",50000,4,2,3.8,30000,-115.283141856401,33.6508363163777,"California",3445,"Mercedes-Benz Metris","gasoline","automatic"
1,"Toyota",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,29,54783,1,"Urban",36,"Female",1,2.81916000296947,44008.9341363404,"Female",3,"Land Rover Range Rover Evoque",60000,3,2,4.8,26416.9374309025,-119.935292692047,36.6118675348692,"California",3446,"Land Rover Range Rover Evoque","gasoline","automatic"
1,"Tesla",1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,40,128774,5,"Rural",7,"Male",0,4.52259729997007,88640.4443687643,"Female",15,"Maserati Ghibli",20000,4,5,4.8,30000,-120.961266587426,40.7665781416462,"California",3447,"Maserati Ghibli","gasoline","automatic"
1,"Ford",0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,63,31228,2,"Rural",1,"Male",1,3.75929237740977,59962.7141283359,"Male",26,"Mazda CX-5",45000,4,2,5.5,26453.6063582875,-122.048558711352,38.392134733192,"California",3448,"Mazda CX-5","gasoline","automatic"
0,"Tesla",1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,45,35788,1,"Rural",27,"Male",0,4.31919950185322,72054.2761124671,"Female",25.4200061985162,"Porsche Cayenne",10000,5,4,1.9,28203.0198867072,-118.402743489248,33.4100740637419,"California",3449,"Porsche Cayenne","gasoline","automatic"
0,"Tesla",1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,31,111572,1,"Urban",32,"Female",1,3.81793154041344,80625.334798824,"Female",25.4200061985162,"Jeep Wrangler",60000,3,3,3.7,19883.309940346,-119.418294513203,35.2989364847107,"California",3450,"Jeep Wrangler","gasoline","manual"
1,"Ford",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,21,69399,1,"Suburban",46,"Female",0,4.31400278905548,35956.7451689509,"Female",30,"Chevrolet City Express",85000,1,3,3.4,17494.1602014865,-120.713752759112,38.2023737953002,"California",3451,"Chevrolet City Express","gasoline","automatic"
1,"Ford",0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,21,124218,4,"Suburban",34,"Male",1,4.05599392804137,29679.0601085289,"Male",9,"Ford Escape",110000,1,1,2.7,30000,-117.24329458691,35.5904869792855,"California",3452,"Ford Escape","gasoline","automatic"
0,"Tesla",1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,19,125119,4,"Urban",2,"Male",0,4.61218392362895,79241.9265583158,"Male",17.4200061985162,"Ford F-150",95000,2,1,2.7,24758.0883643031,-122.508347494647,40.2238874307937,"California",3453,"Ford F-150","gasoline","automatic"
0,"Toyota",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,25,52063,5,"Suburban",12,"Male",0,3.35836830006805,21094.594320748,"Male",17.4200061985162,"Jaguar XE",120000,1,1,5.6,6719.06666869343,-114.838892593259,34.8452154011698,"California",3454,"Jaguar XE","gasoline","automatic"
0,"Toyota",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,49,116891,2,"Urban",16,"Female",1,2.38006118910292,42937.2776858509,"Female",13.4200061985162,"Jaguar XE",115000,5,4,2.4,16382.1466768437,-120.838405792379,41.9355163374815,"California",3455,"Jaguar XE","gasoline","automatic"
1,"Tesla",1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,57,129917,3,"Rural",34,"Male",1,4.12313703122601,44280.7846721029,"Male",17,"GMC Sierra",50000,5,4,2,30000,-115.161701996124,33.2760970175002,"California",3456,"GMC Sierra","gasoline","automatic"
0,"Tesla",1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,65,31578,2,"Rural",2,"Male",1,4.71190197350038,53651.3540754095,"Male",2.42000619851622,"Nissan Versa",145000,2,5,1.2,12502.2999618209,-121.457325807742,41.4443279020773,"California",3457,"Nissan Versa","gasoline","CVT"
1,"Ford",1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,54,137416,4,"Rural",22,"Male",0,4.85964583086701,34578.5161860287,"Female",6,"Nissan Quest",130000,1,2,2.1,7251.38305133138,-122.629313998395,41.0578372783036,"California",3458,"Nissan Quest","gasoline","CVT"
0,"Ford",0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,23,49047,3,"Suburban",26,"Male",0,4.1623897175505,33296.4214577805,"Female",13.4200061985162,"Suzuki Equator",15000,3,3,2.7,30000,-123.153543830607,41.8107296367279,"California",3459,"Suzuki Equator","gasoline","manual"
1,"Tesla",1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,36,120340,3,"Urban",3,"Female",0,5.07243224763311,57520.5909509677,"Male",30,"Nissan Ariya",0,5,2,5.6,30000,-117.282764633545,34.9881002667525,"California",3460,"Nissan Ariya","electric","automatic"
0,"Toyota",0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,61,124062,1,"Suburban",12,"Female",1,3.37262564062872,33784.1592496261,"Male",18.4200061985162,"Rivian R1T",75000,4,3,4.5,18991.5073171035,-118.743764332316,37.0460449371384,"California",3461,"Rivian R1T","gasoline","automatic"
1,"Tesla",1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,23,71237,2,"Rural",18,"Female",0,3.79770592143834,75408.1391670741,"Male",4,"Nissan Altima",135000,4,5,6,21427.2074650322,-115.550681084301,35.0735911698857,"California",3462,"Nissan Altima","gasoline","CVT"
0,"Ford",0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,23,37326,3,"Suburban",14,"Male",0,4.44689322079412,43154.2454357259,"Female",11.4200061985162,"Mitsubishi Mirage",135000,3,4,1.7,21319.9201363705,-120.08841030917,39.8206953377726,"California",3463,"Mitsubishi Mirage","gasoline","CVT"
0,"Toyota",0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,53,102777,3,"Rural",22,"Male",0,3.38517695439539,38608.8195815682,"Female",11.4200061985162,"Land Rover Range Rover Evoque",90000,1,3,3.4,28693.2563645553,-122.420576826461,40.7040182513646,"California",3464,"Land Rover Range Rover Evoque","gasoline","automatic"
1,"Toyota",0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,36,58796,4,"Rural",34,"Female",1,4.46871020406317,43322.1247786074,"Female",29,"Hyundai Tucson",35000,2,3,3.4,27451.1041118519,-114.604037503996,33.5041012978078,"California",3465,"Hyundai Tucson","gasoline","automatic"
0,"Ford",0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,34,59408,2,"Suburban",8,"Female",0,3.77089135190782,30106.4451935235,"Male",15.4200061985162,"Subaru Impreza",85000,3,1,3.4,27724.2131160252,-120.158118307725,41.2233998608589,"California",3466,"Subaru Impreza","gasoline","manual"
0,"Toyota",0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,63,146260,4,"Urban",13,"Female",1,3.72776808354584,39717.6383552141,"Female",1.42000619851622,"Jeep Wrangler",85000,3,5,2.7,21869.2696568173,-121.435877899669,37.5313457846661,"California",3467,"Jeep Wrangler","gasoline","manual"
0,"Toyota",0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,35,104713,2,"Rural",27,"Male",0,3.93479285922114,25734.3612192199,"Male",6.42000619851622,"Honda Odyssey",90000,5,3,4.5,30000,-120.153383850743,37.0379592737196,"California",3468,"Honda Odyssey","gasoline","automatic"
1,"Toyota",0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,41,71251,1,"Rural",29,"Male",0,3.01491247898678,39970.1118873199,"Male",10,"Kia Sedona",70000,1,3,5,22516.2356291876,-124.05475742926,41.7855910300651,"California",3469,"Kia Sedona","gasoline","automatic"
0,"Toyota",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,40,138712,4,"Suburban",15,"Male",0,3.74682945661396,31901.1562224478,"Female",18.4200061985162,"Infiniti QX30",65000,3,5,3.3,30000,-121.336355623952,41.2089803060612,"California",3470,"Infiniti QX30","electric","automatic"
1,"Toyota",0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,49,57403,3,"Suburban",30,"Female",0,3.01970944955615,44100.026321644,"Male",14,"Subaru Forester",30000,1,2,2.1,29444.7007647799,-117.593449257694,34.8974711032226,"California",3471,"Subaru Forester","electric","CVT"
1,"Toyota",0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,25,42418,2,"Suburban",12,"Female",0,3.02968277861274,46123.529072362,"Female",6,"Lucid Air",20000,3,5,4.9,18026.2021088933,-121.218117559141,37.4155387162961,"California",3472,"Lucid Air","electric","automatic"
1,"Toyota",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,31,75451,2,"Rural",6,"Female",1,3.78801839425029,49658.2144067623,"Female",22,"Lexus IS",5000,1,3,3.7,30000,-121.684601779726,39.9463602202325,"California",3473,"Lexus IS","gasoline","automatic"
0,"Ford",0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,22,43476,2,"Rural",18,"Male",1,4.29234586291617,43882.0971734822,"Male",26.4200061985162,"Audi e-Tron",65000,1,1,2.7,29980.2546265005,-121.970806213617,37.6643451532716,"California",3474,"Audi e-Tron","electric","automatic"
1,"Tesla",1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,55,72005,1,"Urban",34,"Female",1,5.003593696874,96524.5565962047,"Female",28,"Mazda5",1e+05,5,4,1.7,25358.0796394283,-116.345332101586,33.4327511626451,"California",3475,"Mazda5","gasoline","manual"
0,"Ford",0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,52,31441,5,"Suburban",17,"Male",0,3.96045059984768,38861.0966759734,"Male",23.4200061985162,"Lincoln MKC",135000,4,2,4.5,27637.3786828743,-117.143909723523,34.9978671275148,"California",3476,"Lincoln MKC","gasoline","automatic"
1,"Ford",0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,64,63768,1,"Suburban",34,"Male",1,3.97876328668578,47611.3622631761,"Female",6,"Lexus NX",70000,4,3,2.4,27377.8046296557,-119.237722549985,34.5496283328384,"California",3477,"Lexus NX","gasoline","automatic"
